Time,Voltage
-0.003316,0.088
-0.003312,0.044
-0.003308,0.004
-0.003304,-0.036
-0.0033,-0.06
-0.003296,-0.076
-0.003292,-0.084
-0.003288,-0.084
-0.003284,-0.068
-0.00328,-0.04
-0.003276,-0.012
-0.003272,0.02
-0.003268,0.056
-0.003264,0.092
-0.00326,0.124
-0.003256,0.144
-0.003252,0.156
-0.003248,0.164
-0.003244,0.156
-0.00324,0.14
-0.003236,0.112
-0.003232,0.08
-0.003228,0.036
-0.003224,-0.004
-0.00322,-0.048
-0.003216,-0.088
-0.003212,-0.124
-0.003208,-0.136
-0.003204,-0.124
-0.0032,-0.1
-0.003196,-0.064
-0.003192,-0.02
-0.003188,0.036
-0.003184,0.088
-0.00318,0.144
-0.003176,0.22
-0.003172,0.272
-0.003168,0.3
-0.003164,0.316
-0.00316,0.332
-0.003156,0.336
-0.003152,0.328
-0.003148,0.308
-0.003144,0.284
-0.00314,0.248
-0.003136,0.204
-0.003132,0.156
-0.003128,0.116
-0.003124,0.072
-0.00312,0.028
-0.003116,-0.004
-0.003112,-0.024
-0.003108,-0.032
-0.003104,-0.036
-0.0031,-0.024
-0.003096,-0.004
-0.003092,0.02
-0.003088,0.052
-0.003084,0.088
-0.00308,0.12
-0.003076,0.152
-0.003072,0.176
-0.003068,0.192
-0.003064,0.196
-0.00306,0.196
-0.003056,0.18
-0.003052,0.156
-0.003048,0.124
-0.003044,0.08
-0.00304,0.04
-0.003036,-0.008
-0.003032,-0.048
-0.003028,-0.084
-0.003024,-0.116
-0.00302,-0.136
-0.003016,-0.124
-0.003012,-0.104
-0.003008,-0.072
-0.003004,-0.032
-0.003,0.016
-0.002996,0.064
-0.002992,0.116
-0.002988,0.176
-0.002984,0.228
-0.00298,0.252
-0.002976,0.264
-0.002972,0.272
-0.002968,0.272
-0.002964,0.256
-0.00296,0.228
-0.002956,0.2
-0.002952,0.164
-0.002948,0.116
-0.002944,0.068
-0.00294,0.028
-0.002936,-0.012
-0.002932,-0.048
-0.002928,-0.068
-0.002924,-0.08
-0.00292,-0.084
-0.002916,-0.08
-0.002912,-0.056
-0.002908,-0.028
-0.002904,0
-0.0029,0.032
-0.002896,0.072
-0.002892,0.108
-0.002888,0.132
-0.002884,0.152
-0.00288,0.16
-0.002876,0.164
-0.002872,0.148
-0.002868,0.128
-0.002864,0.1
-0.00286,0.064
-0.002856,0.016
-0.002852,-0.02
-0.002848,-0.064
-0.002844,-0.104
-0.00284,-0.136
-0.002836,-0.128
-0.002832,-0.112
-0.002828,-0.084
-0.002824,-0.044
-0.00282,0.004
-0.002816,0.056
-0.002812,0.112
-0.002808,0.168
-0.002804,0.248
-0.0028,0.284
-0.002796,0.308
-0.002792,0.32
-0.002788,0.336
-0.002784,0.336
-0.00278,0.32
-0.002776,0.3
-0.002772,0.268
-0.002768,0.232
-0.002764,0.18
-0.00276,0.136
-0.002756,0.096
-0.002752,0.048
-0.002748,0.012
-0.002744,-0.008
-0.00274,-0.028
-0.002736,-0.036
-0.002732,-0.032
-0.002728,-0.016
-0.002724,0.004
-0.00272,0.032
-0.002716,0.064
-0.002712,0.1
-0.002708,0.132
-0.002704,0.164
-0.0027,0.184
-0.002696,0.196
-0.002692,0.2
-0.002688,0.188
-0.002684,0.168
-0.00268,0.144
-0.002676,0.104
-0.002672,0.064
-0.002668,0.02
-0.002664,-0.024
-0.00266,-0.064
-0.002656,-0.1
-0.002652,-0.124
-0.002648,-0.136
-0.002644,-0.116
-0.00264,-0.088
-0.002636,-0.056
-0.002632,-0.012
-0.002628,0.036
-0.002624,0.084
-0.00262,0.136
-0.002616,0.204
-0.002612,0.24
-0.002608,0.26
-0.002604,0.268
-0.0026,0.276
-0.002596,0.268
-0.002592,0.244
-0.002588,0.216
-0.002584,0.184
-0.00258,0.144
-0.002576,0.096
-0.002572,0.052
-0.002568,0.012
-0.002564,-0.028
-0.00256,-0.056
-0.002556,-0.076
-0.002552,-0.084
-0.002548,-0.084
-0.002544,-0.072
-0.00254,-0.048
-0.002536,-0.016
-0.002532,0.012
-0.002528,0.048
-0.002524,0.084
-0.00252,0.116
-0.002516,0.14
-0.002512,0.156
-0.002508,0.164
-0.002504,0.156
-0.0025,0.144
-0.002496,0.12
-0.002492,0.084
-0.002488,0.044
-0.002484,0.004
-0.00248,-0.04
-0.002476,-0.08
-0.002472,-0.12
-0.002468,-0.136
-0.002464,-0.128
-0.00246,-0.104
-0.002456,-0.072
-0.002452,-0.028
-0.002448,0.024
-0.002444,0.08
-0.00244,0.132
-0.002436,0.196
-0.002432,0.268
-0.002428,0.3
-0.002424,0.316
-0.00242,0.328
-0.002416,0.336
-0.002412,0.332
-0.002408,0.312
-0.002404,0.288
-0.0024,0.256
-0.002396,0.208
-0.002392,0.164
-0.002388,0.124
-0.002384,0.076
-0.00238,0.036
-0.002376,0.004
-0.002372,-0.016
-0.002368,-0.032
-0.002364,-0.04
-0.00236,-0.028
-0.002356,-0.008
-0.002352,0.012
-0.002348,0.044
-0.002344,0.08
-0.00234,0.116
-0.002336,0.148
-0.002332,0.168
-0.002328,0.192
-0.002324,0.196
-0.00232,0.196
-0.002316,0.184
-0.002312,0.164
-0.002308,0.128
-0.002304,0.088
-0.0023,0.048
-0.002296,0.004
-0.002292,-0.04
